"http://dbpedia.org/resource/Viper_Solfa;""http://dbpedia.org/resource/Ronny_Thorsen"";""Ronny Thorsen"""
"http://dbpedia.org/resource/Viper_Solfa;""http://dbpedia.org/resource/Krister_Dreyer"";""Krister Dreyer"""
"http://dbpedia.org/resource/Incognito_(band);""http://dbpedia.org/resource/Jean-Paul_'Bluey'_Maunick"";""Jean-Paul 'Bluey' Maunick"""
"http://dbpedia.org/resource/Incognito_(band);""http://dbpedia.org/resource/Maysa_Leak"";""Maysa Leak"""
"http://dbpedia.org/resource/Incognito_(band);""http://dbpedia.org/resource/Tony_Momrelle"";""Tony Momrelle"""
"http://dbpedia.org/resource/Incognito_(band);""http://dbpedia.org/resource/Imaani"";""Imaani"""
"http://dbpedia.org/resource/Incognito_(band);""http://dbpedia.org/resource/Imaani"";""Imaani Saleem"""
"http://dbpedia.org/resource/Strong_Arm_Steady;""http://dbpedia.org/resource/Mitchy_Slick"";""Mitchy Slick"""
"http://dbpedia.org/resource/I_(band);""http://dbpedia.org/resource/Armagedda"";""Armagedda"""
"http://dbpedia.org/resource/I_(band);""http://dbpedia.org/resource/King_ov_Hell"";""King ov Hell"""
"http://dbpedia.org/resource/Heathen_(band);""http://dbpedia.org/resource/Jon_Dette"";""Jon Dette"""
"http://dbpedia.org/resource/Heathen_(band);""http://dbpedia.org/resource/Lee_Altus"";""Lee Altus"""
"http://dbpedia.org/resource/Heathen_(band);""http://dbpedia.org/resource/David_White_(heavy_metal_vocalist)"";""David White"""
"http://dbpedia.org/resource/Heathen_(band);""http://dbpedia.org/resource/Jason_Viebrooks"";""Jason Viebrooks"""
"http://dbpedia.org/resource/Telekinesis_(band);""http://dbpedia.org/resource/Michael_Benjamin_Lerner"";""Michael Benjamin Lerner"""
"http://dbpedia.org/resource/Defecation_(band);""http://dbpedia.org/resource/Mitch_Harris"";""Mitch Harris"""
"http://dbpedia.org/resource/Atoms_for_Peace_(band);""http://dbpedia.org/resource/Flea_(musician)"";""Flea"""
"http://dbpedia.org/resource/Atoms_for_Peace_(band);""http://dbpedia.org/resource/Thom_Yorke"";""Thom Yorke"""
"http://dbpedia.org/resource/Atoms_for_Peace_(band);""http://dbpedia.org/resource/Mauro_Refosco"";""Mauro Refosco"""
"http://dbpedia.org/resource/Atoms_for_Peace_(band);""http://dbpedia.org/resource/Nigel_Godrich"";""Nigel Godrich"""
