"band;""bandname"""
"http://dbpedia.org/resource/Ninety_Pound_Wuss;""Ninety Pound Wuss"""
"http://dbpedia.org/resource/Coachwhips;""Coachwhips"""
"http://dbpedia.org/resource/Marvelous_3;""Marvelous 3"""
"http://dbpedia.org/resource/The_Smoke;""The Smoke"""
"http://dbpedia.org/resource/Il_Balletto_di_Bronzo;""Il Balletto di Bronzo"""
"http://dbpedia.org/resource/Undish;""Undish"""
"http://dbpedia.org/resource/Bourbon_Crow;""Bourbon Crow"""
"http://dbpedia.org/resource/4_Runner;""4 Runner"""
"http://dbpedia.org/resource/Viper_Solfa;""Viper Solfa"""
"http://dbpedia.org/resource/The_Rubens;""The Rubens"""
"http://dbpedia.org/resource/Fahrenhaidt;""Fahrenhaidt"""
"http://dbpedia.org/resource/Kenickie;""Kenickie"""
"http://dbpedia.org/resource/Incognito_(band);""Incognito (band)"""
"http://dbpedia.org/resource/Mount_Righteous;""Mount Righteous"""
"http://dbpedia.org/resource/Strong_Arm_Steady;""Strong Arm Steady"""
"http://dbpedia.org/resource/Tahiti_80;""Tahiti 80"""
"http://dbpedia.org/resource/I_(band);""I (band)"""
"http://dbpedia.org/resource/Molemen;""Molemen"""
"http://dbpedia.org/resource/Muleskinner_(band);""Muleskinner (band)"""
"http://dbpedia.org/resource/Heathen_(band);""Heathen (band)"""
"http://dbpedia.org/resource/Telekinesis_(band);""Telekinesis (band)"""
"http://dbpedia.org/resource/Defecation_(band);""Defecation (band)"""
"http://dbpedia.org/resource/Mak_and_the_Dudes;""Mak and the Dudes"""
"http://dbpedia.org/resource/Crimson_Moonlight;""Crimson Moonlight"""
"http://dbpedia.org/resource/Human_Radio;""Human Radio"""
"http://dbpedia.org/resource/Atoms_for_Peace_(band);""Atoms for Peace (band)"""
"http://dbpedia.org/resource/Thunderbirds_Are_Now!;""Thunderbirds Are Now!"""
"http://dbpedia.org/resource/Institute_(band);""Institute (band)"""
"http://dbpedia.org/resource/Into_the_Moat;""Into the Moat"""
"http://dbpedia.org/resource/Ramona_Falls_(band);""Ramona Falls (band)"""
"http://dbpedia.org/resource/The_Blackwood_Brothers;""The Blackwood Brothers"""
"http://dbpedia.org/resource/Eleven_(band);""Eleven (band)"""
"http://dbpedia.org/resource/Vondur;""Vondur"""
"http://dbpedia.org/resource/Eternal_Elysium;""Eternal Elysium"""
"http://dbpedia.org/resource/Torch_(band);""Torch (band)"""
"http://dbpedia.org/resource/Chopper_City_Boyz;""Chopper City Boyz"""
"http://dbpedia.org/resource/Malevolence_(band);""Malevolence (band)"""
"http://dbpedia.org/resource/WC_and_the_Maad_Circle;""WC and the Maad Circle"""
"http://dbpedia.org/resource/Capellen_Choir;""Capellen Choir"""
"http://dbpedia.org/resource/The_Flying_Lizards;""The Flying Lizards"""
"http://dbpedia.org/resource/The_Famine;""The Famine"""
"http://dbpedia.org/resource/Brain_Failure;""Brain Failure"""
"http://dbpedia.org/resource/Balanescu_Quartet;""Balanescu Quartet"""
"http://dbpedia.org/resource/The_Fixxers;""The Fixxers"""
"http://dbpedia.org/resource/College_Boyz;""College Boyz"""
"http://dbpedia.org/resource/Papercuts_(band);""Papercuts (band)"""
"http://dbpedia.org/resource/Brutal_Knights;""Brutal Knights"""
"http://dbpedia.org/resource/Castrovalva_(band);""Castrovalva (band)"""
"http://dbpedia.org/resource/Gila_(band);""Gila (band)"""
"http://dbpedia.org/resource/Nautical_Almanac_(band);""Nautical Almanac (band)"""
"http://dbpedia.org/resource/Morning_Teleportation;""Morning Teleportation"""
"http://dbpedia.org/resource/Die_Haut;""Die Haut"""
"http://dbpedia.org/resource/Turnstyle_(band);""Turnstyle (band)"""
"http://dbpedia.org/resource/Zoax;""Zoax"""
"http://dbpedia.org/resource/Erra_(band);""Erra (band)"""
"http://dbpedia.org/resource/Obsequiae;""Obsequiae"""
"http://dbpedia.org/resource/The_Revelators;""The Revelators"""
"http://dbpedia.org/resource/My_Drug_Hell;""My Drug Hell"""
"http://dbpedia.org/resource/Ballboy_(band);""Ballboy (band)"""
"http://dbpedia.org/resource/The_Back_Horn;""The Back Horn"""
"http://dbpedia.org/resource/Luniz;""Luniz"""
"http://dbpedia.org/resource/Death_Cab_for_Cutie;""Death Cab for Cutie"""
"http://dbpedia.org/resource/We_Are_Wolves;""We Are Wolves"""
"http://dbpedia.org/resource/Dreamtone_&_Iris_Mavraki's_Neverland;""Dreamtone & Iris Mavraki's Neverland"""
"http://dbpedia.org/resource/Headlights_(band);""Headlights (band)"""
"http://dbpedia.org/resource/Mint_Royale;""Mint Royale"""
"http://dbpedia.org/resource/Single_File_(band);""Single File (band)"""
"http://dbpedia.org/resource/Soilent_Green;""Soilent Green"""
"http://dbpedia.org/resource/Terri_&_Monica;""Terri & Monica"""
"http://dbpedia.org/resource/Hocico;""Hocico"""
"http://dbpedia.org/resource/Phantom_Planet;""Phantom Planet"""
"http://dbpedia.org/resource/The_Philosopher_Kings;""The Philosopher Kings"""
"http://dbpedia.org/resource/Planxty;""Planxty"""
"http://dbpedia.org/resource/Eagles_of_Death_Metal;""Eagles of Death Metal"""
"http://dbpedia.org/resource/T.O.K.;""T.O.K."""
"http://dbpedia.org/resource/Curved_Air;""Curved Air"""
"http://dbpedia.org/resource/Glyder_(band);""Glyder (band)"""
"http://dbpedia.org/resource/Lucifer's_Friend;""Lucifer's Friend"""
"http://dbpedia.org/resource/Erreway;""Erreway"""
"http://dbpedia.org/resource/Wreckx-n-Effect;""Wreckx-n-Effect"""
"http://dbpedia.org/resource/The_Yellow_Moon_Band;""The Yellow Moon Band"""
"http://dbpedia.org/resource/Daughtry_(band);""Daughtry (band)"""
"http://dbpedia.org/resource/Big_D_and_the_Kids_Table;""Big D and the Kids Table"""
"http://dbpedia.org/resource/Fink_(singer);""Fink (singer)"""
"http://dbpedia.org/resource/The_Ghost_of_a_Thousand;""The Ghost of a Thousand"""
"http://dbpedia.org/resource/The_Rural_Alberta_Advantage;""The Rural Alberta Advantage"""
"http://dbpedia.org/resource/The_Cunninghams;""The Cunninghams"""
"http://dbpedia.org/resource/The_Escape_Club;""The Escape Club"""
"http://dbpedia.org/resource/Tortoise_(band);""Tortoise (band)"""
"http://dbpedia.org/resource/Winger_(band);""Winger (band)"""
"http://dbpedia.org/resource/Echobelly;""Echobelly"""
"http://dbpedia.org/resource/The_69_Eyes;""The 69 Eyes"""
"http://dbpedia.org/resource/Asobi_Seksu;""Asobi Seksu"""
"http://dbpedia.org/resource/Hey_Mercedes;""Hey Mercedes"""
"http://dbpedia.org/resource/Reuben_(band);""Reuben (band)"""
"http://dbpedia.org/resource/Tree63;""Tree63"""
"http://dbpedia.org/resource/Arc_Angels;""Arc Angels"""
"http://dbpedia.org/resource/Frickin'_A;""Frickin' A"""
"http://dbpedia.org/resource/Confederate_Railroad;""Confederate Railroad"""
"http://dbpedia.org/resource/Mystic_Prophecy;""Mystic Prophecy"""
"http://dbpedia.org/resource/Cavedogs;""Cavedogs"""
"http://dbpedia.org/resource/El_Pus;""El Pus"""
"http://dbpedia.org/resource/Enuff_Z'Nuff;""Enuff Z'Nuff"""
"http://dbpedia.org/resource/The_Boy_Least_Likely_To;""The Boy Least Likely To"""
"http://dbpedia.org/resource/Gazpacho_(band);""Gazpacho (band)"""
"http://dbpedia.org/resource/Our_Heart's_Hero;""Our Heart's Hero"""
"http://dbpedia.org/resource/Coldcut;""Coldcut"""
"http://dbpedia.org/resource/Bongwater_(band);""Bongwater (band)"""
"http://dbpedia.org/resource/Mumford_&_Sons;""Mumford & Sons"""
"http://dbpedia.org/resource/Ubiquitous_Synergy_Seeker;""Ubiquitous Synergy Seeker"""
"http://dbpedia.org/resource/Warbringer;""Warbringer"""
"http://dbpedia.org/resource/Anal_Cunt;""Anal Cunt"""
"http://dbpedia.org/resource/Angelic_Upstarts;""Angelic Upstarts"""
"http://dbpedia.org/resource/The_Bluetones;""The Bluetones"""
"http://dbpedia.org/resource/Mae_Moore;""Mae Moore"""
"http://dbpedia.org/resource/My_Chemical_Romance;""My Chemical Romance"""
"http://dbpedia.org/resource/The_Mr._T_Experience;""The Mr. T Experience"""
"http://dbpedia.org/resource/Intruder_(American_band);""Intruder (American band)"""
"http://dbpedia.org/resource/Vazelina_Bilopphøggers;""Vazelina Bilopphøggers"""
"http://dbpedia.org/resource/Articles_of_Faith_(band);""Articles of Faith (band)"""
"http://dbpedia.org/resource/F(x)_(band);""F(x) (band)"""
"http://dbpedia.org/resource/Grace_Potter_and_the_Nocturnals;""Grace Potter and the Nocturnals"""
"http://dbpedia.org/resource/Steps_Ahead;""Steps Ahead"""
"http://dbpedia.org/resource/Imperial_State_Electric;""Imperial State Electric"""
"http://dbpedia.org/resource/Powerglove_(band);""Powerglove (band)"""
"http://dbpedia.org/resource/The_Naked_and_Famous;""The Naked and Famous"""
"http://dbpedia.org/resource/The_Meters;""The Meters"""
"http://dbpedia.org/resource/Emarosa;""Emarosa"""
"http://dbpedia.org/resource/The_Tony_Danza_Tapdance_Extravaganza;""The Tony Danza Tapdance Extravaganza"""
"http://dbpedia.org/resource/Cave_In;""Cave In"""
"http://dbpedia.org/resource/American_Hi-Fi;""American Hi-Fi"""
"http://dbpedia.org/resource/Braid_(band);""Braid (band)"""
"http://dbpedia.org/resource/I_Killed_the_Prom_Queen;""I Killed the Prom Queen"""
"http://dbpedia.org/resource/Two-Mix;""Two-Mix"""
"http://dbpedia.org/resource/Steel_Train;""Steel Train"""
"http://dbpedia.org/resource/The_Civil_Wars;""The Civil Wars"""
"http://dbpedia.org/resource/Graham_Central_Station;""Graham Central Station"""
"http://dbpedia.org/resource/Sprung_Monkey;""Sprung Monkey"""
"http://dbpedia.org/resource/The_Desert_Rose_Band;""The Desert Rose Band"""
"http://dbpedia.org/resource/By2;""By2"""
"http://dbpedia.org/resource/Carolina_Chocolate_Drops;""Carolina Chocolate Drops"""
"http://dbpedia.org/resource/Light_This_City;""Light This City"""
"http://dbpedia.org/resource/Anarbor;""Anarbor"""
"http://dbpedia.org/resource/Covenant_(band);""Covenant (band)"""
"http://dbpedia.org/resource/Huffamoose;""Huffamoose"""
"http://dbpedia.org/resource/Beady_Eye;""Beady Eye"""
"http://dbpedia.org/resource/The_Belle_Game;""The Belle Game"""
"http://dbpedia.org/resource/The_Superions;""The Superions"""
"http://dbpedia.org/resource/Yaki-Da;""Yaki-Da"""
"http://dbpedia.org/resource/Sing_It_Loud;""Sing It Loud"""
"http://dbpedia.org/resource/Stereo_MCs;""Stereo MCs"""
"http://dbpedia.org/resource/Deerhoof;""Deerhoof"""
"http://dbpedia.org/resource/Dizzy_Mizz_Lizzy;""Dizzy Mizz Lizzy"""
"http://dbpedia.org/resource/Eddie_and_the_Hot_Rods;""Eddie and the Hot Rods"""
"http://dbpedia.org/resource/The_Blue_Van;""The Blue Van"""
"http://dbpedia.org/resource/Xtatik;""Xtatik"""
"http://dbpedia.org/resource/Bass_Outlaws;""Bass Outlaws"""
"http://dbpedia.org/resource/The_Communards;""The Communards"""
"http://dbpedia.org/resource/How_to_Swim_(band);""How to Swim (band)"""
"http://dbpedia.org/resource/Hamish_&_Andy;""Hamish & Andy"""
"http://dbpedia.org/resource/The_Spencer_Davis_Group;""The Spencer Davis Group"""
"http://dbpedia.org/resource/Berny-Ignatius;""Berny-Ignatius"""
"http://dbpedia.org/resource/Frontier_Ruckus;""Frontier Ruckus"""
"http://dbpedia.org/resource/Milligram_(band);""Milligram (band)"""
"http://dbpedia.org/resource/The_Dramatics;""The Dramatics"""
"http://dbpedia.org/resource/Los_Freddy's;""Los Freddy's"""
"http://dbpedia.org/resource/Matanza_(band);""Matanza (band)"""
"http://dbpedia.org/resource/Freelance_Whales;""Freelance Whales"""
